#	type	key	freq
70	V[s]	acan: bright and faint star	3
71	T	nn: zenith distance	93
71	V[s]	ann: meridian zenith distance	7
71	V[s]	nnpn: zenith distance of sun	2
71	V[s]	ann: observed zenith distance	6
71	V[s]	ann: apparent zenith distance	11
71	V[s]	ann: true zenith distance	7
71	V[s]	ann: geocentric zenith distance	2
71	V[s]	ann: calculated zenith distance	3
71	V[s]	nnpn: zenith distance of star	4
71	V[s]	nnpn: zenith distance of moon	3
72	T	n: ascension	279
73	T	n: website	93
73	V[m]+	nn: web site	49
74	T	nn: sky object	92
74	V[s]	aann: faint deep sky object	3
74	V[s]	aann: best-known deep sky object	3
75	T	n: gamma	92
76	T	a: linear	91
77	T	nn: star cluster	182
77	V[s]	ncnpn: nebula and cluster of star	5
77	V[s]	ann: globular star cluster	16
77	V[s]	ann: open star cluster	27
77	V[s]	nnn: pleiades star cluster	7
77	V[s]	ann: bright star cluster	9
77	V[s]	nnn: hyades star cluster	3
77	V[s]	nnn: beehive star cluster	2
77	V[s]	nnn: naked-eye star cluster	2
77	V[s]	nnn: star cluster symbol	3
78	T	an: focal ratio	89
78	V[s]	anpn: focal ratio of telescope	3
78	V[s]	aan: fast focal ratio	4
78	V[s]	aan: small focal ratio	4
78	V[s]	aan: identical focal ratio	3
79	T	n: amplitude	89
80	T	n: uranus	178
81	T	nnn: rooster rock sp	89
82	T	n: kepler	88
83	T	n: goto	88
84	T	n: zoom	88
85	T	n: asterism	88
86	T	n: azimuth	263
87	T	n: tripod	87
88	T	n: stellarium	608
89	T	an: white dwarf	85
90	T	n: cursor	84
91	T	a: horizontal	167
92	T	nnn: stub stewart sp	83
93	T	n: dipper	82
94	T	n: refraction	161
95	T	an: open cluster	80
95	V[s]	aan: open galactic cluster	4
96	T	n: quasar	80
97	T	an: celestial equator	158
98	T	n: photosphere	79
99	T	an: faint object	78
99	V[s]	aann: faint deep sky object	3
99	V[s]	aan: faint celestial object	2
100	T	n: occultation	78
101	T	nn: sky chart	155
101	V[s]	nnn: sky chart view	15
101	V[s]	ann: main sky chart	8
101	V[s]	nnn: sky chart setting	2
101	V[s]	nnn: sky chart display	2
102	T	n: polaris	77
103	T	nn: city astronomer	154
103	V[s]	nnn: rose city astronomer	110
103	V[s]	nnn: city astronomer club	12
104	T	an: polar axis	76
105	T	an: focal plane	75
105	V[s]	anpn: focal plane of telescope	21
105	V[s]	nan: telescope focal plane	3
106	T	n: aperture	373
107	T	n: glossary	73
108	T	n: prism	73
109	T	n: toggle	73
110	T	an: universal time	73
110	V[s]	anpn: universal time of transit	2
111	T	nn: moon map	72
112	T	an: optical system	71
112	V[s]	nan: straight-line optical system	2
113	T	n: cosmology	70
114	T	an: variable star	209
114	V[s]	aan: cepheid variable star	7
114	V[s]	aan: periodic variable star	4
114	V[s]	aan: selected variable star	2
114	V[s]	aan: unstudied variable star	2
114	V[s]	aan: cataclysmic variable star	2
115	T	n: neutrino	69
116	T	n: ptolemy	69
117	T	n: parsec	69
118	T	n: pulsar	68
119	T	n: refractor	203
120	T	n: corona	67
121	T	a: guiding	67
122	T	n: taurus	66
123	T	an: star book	129
124	T	a: globular	129
125	T	a: equatorial	386
126	T	npn: brightness of star	64
126	V[s]	npan: brightness of variable star	5
126	V[s]	anpn: intrinsic brightness of star	5
126	V[s]	anpn: apparent brightness of star	4
127	T	a: numerical	63
128	T	n: ursa	62
129	T	n: startup	62
130	T	an: spherical aberration	62
